PostCodes,eff
NL47 - NL47,1.0
BE15 - BE50,1.0
ES18 - BE35,1.0
IT42 - IT37,1.0
NO64 - GBTW,1.0
DE53 - DE53,1.0
GBTW - GBUB,1.0
DE46 - DE46,1.0
FR94 - DE47,1.0
BE88 - NL53,1.0
BE88 - NL48,1.0
NL80 - NL81,1.0
PL55 - PL55,1.0
NL81 - NL48,1.0
DE31 - DE31,1.0
FR77 - NO14,1.0
FR71 - FR71,1.0
NO72 - GBTW,1.0005448434372946
IT51 - GBSY,1.0017594735532003
DE33 - FI33,1.0022781328902797
NL11 - IED2,1.0032031194815427
NL14 - IED2,1.0041844357113903
IT53 - NO14,1.0060465548672328
IT47 - FI01,1.0071295787309829
IT12 - NO06,1.0078366460221615
NO60 - IT20,1.0111428961412174
NO72 - FR76,1.0129056731925095
NL47 - NL48,1.0141975996435744
ES46 - PL98,1.0144137683012806
IT37 - NO14,1.0176668887742413
IT37 - FI01,1.0188781426323923
IT43 - NO13,1.0190064805096244
IT39 - FI01,1.0200176818701077
NO59 - GBTW,1.020272861274612
GR59 - LT95,1.0218582375117213
IT39 - FI13,1.0218582375117213
IT38 - FI04,1.0219320527168472
BE19 - SE25,1.0226472688813875
IT20 - GBL2,1.023051103596353
IT48 - NO15,1.025050840259269
IT47 - SE12,1.026846774244722
NO72 - IT20,1.0268807151092547
IT38 - FI01,1.0270049277965683
NL69 - SE35,1.0279515504471872
IT21 - GBDE,1.0288562639221743
IT51 - GBPR,1.0289648591732625
IT48 - FI01,1.02946895044353
NO88 - PL76,1.0303552976229642
ES28 - GBPA,1.0315287240949584
NO87 - NL11,1.0339605295840821
ES46 - DK63,1.0366234089618298
ES46 - SE25,1.037000556096928
IT41 - IT37,1.0370753099372385
NL11 - FI49,1.0400654186439622
NO - GB,1.0402974179052547
DE48 - IT48,1.0406867494190588
NO90 - LV21,1.0409143022996163
IT16 - SE11,1.0414975170922525
IT17 - SE11,1.0422556060956456
NO41 - FR50,1.0424585030658644
NO60 - GBDN,1.042958239752307
FI49 - NL11,1.0433598487177753
NO64 - IT20,1.0452145623141877
NL38 - BE95,1.0491305457039144
NL - IE,1.0491450632903756
NO41 - IT20,1.049452375041886
IT39 - FI04,1.0494988036969375
FR84 - NO06,1.049730735442839
NO20 - GBTW,1.0503725305218226
IT30 - NO14,1.0508085113737824
