Regions,eff
Norway (South)-UK,1.0
Greece-Denmark,1.0
Spain-Spain,1.0
South France-Sweden,1.0
South France-Norway (South),1.0
BENELUX-Sweden,1.0001979884082708
Greece-Baltics,1.0025133022736488
Italy-Norway (South),1.0032318121754151
BENELUX-Norway (South),1.0051564418872831
Denmark-UK,1.006175775221193
CentralEurope-UK,1.0098496836383837
Italy-UK,1.0129050740268006
South France-Greece,1.023402299518307
Poland-UK,1.0252948369534867
Denmark-Greece,1.0277337340206842
Spain-Sweden,1.028263094108578
BENELUX-Greece,1.028439576995773
Italy-Sweden,1.0306887653579546
Sweden-UK,1.035115355457849
North France-UK,1.0416189940876879
South France-UK,1.0445870515114184
Baltics-Norway (South),1.0508179021703439
Baltics-Sweden,1.053365822245204
North France-Norway (South),1.063606598585377
Spain-CentralEurope,1.0670680638737462
CentralEurope-Sweden,1.070688897275146
Norway (South)-Poland,1.0731573801941643
Denmark-Balkans / Turkey,1.0745691387514407
North France-Sweden,1.0804778379560613
Balkans / Turkey-CentralEurope,1.080888721723268
Balkans / Turkey-Italy,1.081813421542369
Norway (South)-Italy,1.0831126356082303
Italy-Baltics,1.0856909464991142
Greece-BENELUX,1.0908485055964305
CentralEurope-Norway (South),1.092494253139486
UK-Denmark,1.0929184929073132
South France-Poland,1.0950340725829197
South France-Denmark,1.0957313835221527
Italy-Italy,1.0996530196468062
CentralEurope-Greece,1.1000600117917732
UK-Spain,1.1018004089056925
BENELUX-UK,1.104175952433544
Sweden-Balkans / Turkey,1.1104791982304572
Norway (South)-Spain,1.115409317063138
Sweden-South France,1.1182776498530373
Spain-UK,1.1218871077340524
Baltics-UK,1.122552033364845
Greece-Balkans / Turkey,1.1239970953148184
Balkans / Turkey-Sweden,1.1245863034687729
Norway (South)-Baltics,1.1368923634711379
Spain-Denmark,1.1376161449372901
Balkans / Turkey-BENELUX,1.1384883238437873
Poland-Greece,1.1410418717390438
CentralEurope-Balkans / Turkey,1.147271675406562
Italy-South France,1.1486941169095322
North France-Greece,1.1493090381801205
Norway (South)-CentralEurope,1.1524645449072994
Poland-Denmark,1.1525799416318425
Italy-Balkans / Turkey,1.154555682158505
Spain-Balkans / Turkey,1.1552451833994093
Balkans / Turkey-Balkans / Turkey,1.1564450621531672
BENELUX-Balkans / Turkey,1.158512000899506
Poland-Sweden,1.1628291761618783
Balkans / Turkey-Baltics,1.1632794923481862
CentralEurope-Denmark,1.165743049231758
Norway (South)-BENELUX,1.1665514132260741
Greece-Poland,1.1714611896844256
Greece-CentralEurope,1.172096359817017
Italy-Greece,1.1738248685606165
BENELUX-South France,1.1743940581179768
BENELUX-Denmark,1.1747718215127294
Baltics-Balkans / Turkey,1.175475973969216
Greece-North France,1.1765476719752639
Italy-BENELUX,1.1827110953653024
Poland-Balkans / Turkey,1.1884261873860698
Poland-Poland,1.1975426536979548
North France-Balkans / Turkey,1.1990714095540695
CentralEurope-CentralEurope,1.210831514055854
Denmark-Denmark,1.2109929886077722
UK-South France,1.2153983241297284
Norway (South)-North France,1.216179333404167
Denmark-CentralEurope,1.219534876242055
North France-Denmark,1.225248026505829
Sweden-Italy,1.231303208435992
Italy-North France,1.2324098063049937
Greece-South France,1.2345477981228397
UK-CentralEurope,1.2393724727808468
BENELUX-Italy,1.2395634323044131
Norway (South)-Norway (South),1.2435753436266097
Norway (South)-South France,1.24394251338782
BENELUX-BENELUX,1.244334998032257
North France-Baltics,1.2465707664134715
Italy-Denmark,1.247147089732165
North France-North France,1.2478334591633855
UK-Italy,1.248436397915512
Sweden-Norway (South),1.250101742571289
Denmark-Italy,1.2513948724680883
South France-BENELUX,1.2583438278782035
Denmark-South France,1.262068957295104
Spain-Poland,1.2621450981405182
Italy-CentralEurope,1.2668946665452905
Baltics-Spain,1.275761433037741
Poland-CentralEurope,1.2849920554208945
Poland-South France,1.2897849817586224
Sweden-Sweden,1.2904221307809158
BENELUX-Baltics,1.2933890302575615
North France-Italy,1.2942265211689739
Poland-Italy,1.2994437573443622
South France-South France,1.3022804689329575
BENELUX-North France,1.3031925333835461
Norway (South)-Denmark,1.3055623767815732
Sweden-BENELUX,1.3069890928972714
Baltics-Denmark,1.3071891999216434
CentralEurope-North France,1.309787460459237
Denmark-North France,1.3141842738179457
Denmark-Norway (South),1.3148541114222174
Balkans / Turkey-Greece,1.3175662441438205
CentralEurope-Italy,1.3177569997084049
Spain-South France,1.3248746730538679
Norway (South)-Sweden,1.3369339337927266
Poland-Spain,1.338472102663432
Poland-North France,1.3452619324730863
CentralEurope-Spain,1.3498551259463614
Sweden-North France,1.350297974657237
CentralEurope-South France,1.3505352025574098
Poland-Baltics,1.3518620315766718
Sweden-Spain,1.3552792307637254
UK-UK,1.3560023602602032
UK-Baltics,1.3588988978181586
Italy-Poland,1.3591151508277721
Spain-Italy,1.3603811867559297
Denmark-Baltics,1.3786674779298322
Denmark-Spain,1.3874694961880858
South France-Baltics,1.392456618328716
BENELUX-CentralEurope,1.3925261289246098
CentralEurope-Baltics,1.393212531323679
Baltics-North France,1.3974434759495982
Spain-BENELUX,1.4083283302866387
Sweden-Poland,1.4109006720622688
Italy-Spain,1.4216471919237266
Denmark-Sweden,1.4329530724405668
North France-CentralEurope,1.4425009567851477
CentralEurope-Poland,1.4474582614037166
Sweden-Denmark,1.447915546459719
Baltics-Italy,1.4493711515612804
North France-BENELUX,1.4547286647790167
CentralEurope-BENELUX,1.464751000908315
BENELUX-Spain,1.4663394390047921
Greece-Italy,1.4689774247133238
Spain-North France,1.4731873627679006
Sweden-CentralEurope,1.4769326333867905
South France-CentralEurope,1.488762353908189
UK-North France,1.497613822225718
North France-Spain,1.4995626538147528
Denmark-BENELUX,1.5033013048602575
Baltics-CentralEurope,1.509971462007125
North France-Poland,1.5148621561842133
Poland-BENELUX,1.5211468982727414
South France-Italy,1.524323287289158
Baltics-South France,1.5450871526875933
UK-BENELUX,1.5494669181495804
South France-Spain,1.5517640930493963
Denmark-Poland,1.5665534453942551
Baltics-BENELUX,1.566925890793404
Baltics-Poland,1.5744546762071427
Sweden-Baltics,1.5789599850270124
Baltics-Baltics,1.649755339199881
