Route,eff
CZ-CZ,1.0
GR-LT,1.0
IT-FI,1.0
NO-GB,1.0
NL-IE,1.0
HU-HU,1.0
ES-ES,1.0
HR-IT,1.0
NL-SE,1.0010532603573272
NL-AX,1.0149569903452202
IT-MC,1.0166311247665019
BE-NO,1.0213605978401965
FI-NL,1.0325816263232
IT-NO,1.0380814397251192
EE-BG,1.0439107581757678
NL-GR,1.0445915159982797
SI-IT,1.0474944050354378
ES-SE,1.0509145301732359
PT-CH,1.0592831808262337
DK-DK,1.0609793827368896
GR-LV,1.064699419282208
IT-GB,1.0663732473591594
GR-CH,1.0664242732708153
BE-GR,1.0692003955143456
DE-GR,1.0736511846873364
DK-RO,1.0755132498293491
PL-GB,1.0803934932544332
DE-GB,1.0818191652120692
FR-GR,1.0856210600593192
TR-CH,1.0894082923799915
SE-GB,1.089496207658265
NL-FI,1.0917181002946625
EE-NO,1.0964512137455578
NO-IT,1.1001675559742532
IT-SE,1.1027064466278922
IE-NL,1.1040066649625058
NL-DK,1.1079388563276047
NL-NO,1.1090276168893474
FR-NO,1.1096449389050167
IT-IT,1.1147736464122098
MK-LV,1.1224027796325886
AT-SE,1.1272495542955825
NO-EE,1.129088521029545
LV-FI,1.1313941489539585
HU-AT,1.1336278926416234
IT-EE,1.1336486212010306
NO-PL,1.1341107956810796
CZ-AT,1.1368658040617834
LV-RS,1.138788158838787
NO-ES,1.140906026274407
IT-BG,1.140918981167789
GR-NL,1.1421188828996192
PL-FI,1.1426079807456633
ES-DK,1.1434750105991995
BE-FI,1.1455045882063937
AT-GB,1.1470374390398095
RO-LU,1.1490869913470698
FR-SE,1.1506249392741892
LV-GB,1.1534783899871743
ES-DE,1.154941907821297
NL-RO,1.158830761599426
FR-FI,1.158935699135002
BE-BG,1.1617976370797136
GR-DE,1.1634262892854772
LV-LV,1.1666399884224479
LV-NO,1.1686318718331938
CZ-GB,1.1692217971299383
ES-HU,1.1696607579652019
CH-SE,1.1719411460196605
ES-GB,1.1729421291006048
GB-ES,1.173306176612123
SI-SE,1.1739957039836353
AT-HU,1.174502743930206
PL-GR,1.1797751605327096
BE-RO,1.1799151752848591
NO-NL,1.1804939405183765
DE-SE,1.1809006883328548
NO-LU,1.1824064453847825
DK-DE,1.1831920255113506
DE-LU,1.1868699661441198
BG-SE,1.1873914682484343
IT-LT,1.1905762423668982
LV-RO,1.1922108333856614
RO-HU,1.1959316678232723
LT-SE,1.197081097133075
IT-GR,1.1973193320918007
SK-GB,1.1987108938832778
DE-HU,1.19981034585563
PT-LU,1.2002854384573058
DE-RO,1.2016904759598412
NL-BG,1.202030759034085
LT-BG,1.2050109786686536
HU-GB,1.205013317110356
DE-BG,1.20610098920224
IT-DK,1.208516652266249
DK-LU,1.209210632777474
BE-SE,1.2101481263182723
HU-RO,1.211826615349938
IT-RO,1.2124779844573068
DE-DE,1.2135603155449506
NO-LT,1.2151019086871901
LU-SE,1.2158267114293373
AT-DE,1.2180890500346044
GR-PL,1.2181524854446457
SE-SI,1.219107421854915
GR-FR,1.2209575828157704
EE-SE,1.2212833031270418
FR-GB,1.2223163595571194
IT-CH,1.2234292426609823
LV-BG,1.2302661151811087
LV-SE,1.2320987020302399
FR-RO,1.2347383745873883
IT-LV,1.2365065725883373
NO-LV,1.2368868048958828
DE-PT,1.23726902729191
IE-IT,1.238792903663332
NL-EE,1.241862143296611
AT-ES,1.242379738497661
HU-SE,1.2442980718787664
FR-EE,1.244311894905982
PL-PL,1.2469890920961897
SK-SE,1.2510531669497942
CZ-FI,1.2510800276918783
FR-HR,1.2514749310456128
DE-IE,1.2520562810750502
AT-SK,1.25482151255086
LT-RO,1.2549077415169207
PL-BG,1.255045590232225
NO-FR,1.2572779010448094
LV-HR,1.2584877867999882
PL-RO,1.2604442790419146
ES-LU,1.2610589346331138
CZ-SE,1.26279541428232
NL-HR,1.263548108222802
IT-HU,1.2653942706774945
PT-FR,1.2662064612426656
GR-RO,1.2677224096708817
SI-FR,1.2720467896588263
BE-GB,1.2728058147971395
NO-BE,1.2752318764584303
FR-HU,1.2767329931237315
ES-PL,1.2784499243748364
DE-NO,1.279572741655348
NO-DE,1.281199695252712
DE-FI,1.2831838632752464
LU-ES,1.2842042560863203
ES-BE,1.2854057315296337
PL-AT,1.2856266932586966
BE-DK,1.2865051352112296
NL-MC,1.2922596587289301
FR-FR,1.29590165612844
BE-LU,1.2978636365092129
LT-DK,1.2980892711879248
CH-PL,1.298953073020479
ES-AT,1.299428462797227
BE-EE,1.3016777883797466
DE-DK,1.3053697605642571
