Regions,pc1_norm
Spain-Baltics,0.9859688157567607
Balkans / Turkey-North France,0.9595749534894648
Spain-Greece,0.9529391097581251
North France-Greece,0.9502790211904423
Denmark-Greece,0.9428172305659731
South France-Greece,0.9282287249694307
Greece-Baltics,0.9280283082229936
BENELUX-Greece,0.913681059164142
Greece-North France,0.896750091350642
South France-Norway (South),0.88870309047111
Sweden-Balkans / Turkey,0.8879496119846646
Greece-BENELUX,0.8877076236967749
UK-Baltics,0.8820018541355198
Balkans / Turkey-Sweden,0.8811704373479436
UK-Poland,0.8767898684155837
Spain-Sweden,0.8699861111579968
Italy-Baltics,0.8697868527975298
Baltics-UK,0.8673959373775078
Norway (South)-Spain,0.863559695162607
Balkans / Turkey-Baltics,0.8633336565300676
North France-Baltics,0.8574999185163192
South France-Balkans / Turkey,0.8550200844835374
Italy-Norway (South),0.8522732460905056
Poland-Greece,0.8522415817325701
Greece-South France,0.8518746529327624
Baltics-Spain,0.8514409033365616
CentralEurope-Greece,0.8512086716908436
BENELUX-Balkans / Turkey,0.850884544807981
Denmark-Balkans / Turkey,0.8380541253839506
South France-Baltics,0.8338705089935675
Baltics-Balkans / Turkey,0.8316982374671187
South France-Poland,0.8306649240605453
Norway (South)-Italy,0.8235956959642963
Spain-UK,0.8229402437743086
Greece-CentralEurope,0.8180076517719855
Baltics-North France,0.8160655731796952
North France-Balkans / Turkey,0.8132543974984597
Spain-Denmark,0.8111734905594349
South France-Sweden,0.8061628423145011
BENELUX-,0.8056624900882583
Greece-Poland,0.8023654232095001
Greece-Denmark,0.8018403160449491
Baltics-South France,0.8003419970540362
North France-Norway (South),0.7953011768420816
Norway (South)-Poland,0.7947699492750436
Baltics-Italy,0.7929608454946432
Poland-UK,0.7914173312142572
Italy-Greece,0.7907970250443059
Norway (South)-UK,0.7877376674361174
Baltics-Norway (South),0.787701546461365
South France-Denmark,0.7875154777067073
Spain-Poland,0.7868393954685019
BENELUX-Baltics,0.7778168428836331
Sweden-Spain,0.7770447195842775
Italy-UK,0.7755191420154873
Poland-Balkans / Turkey,0.7694695140756039
Sweden-UK,0.7513451926131784
Italy-Sweden,0.7487253592510964
Greece-Italy,0.7460283639116396
Denmark-Spain,0.7426834022952715
Norway (South)-BENELUX,0.7400388398120098
