Route,pc1_norm
ES-EE,0.9859686287356488
BG-FR,0.9595737545960623
ES-GR,0.9529366085172236
NO-CH,0.9497029864590636
LU-BG,0.9386275947080488
SE-BG,0.9374812471645585
FR-GR,0.9373008686747006
DK-BG,0.9322856644504905
BE-GR,0.9317012699131616
GR-LT,0.9284158768271175
GR-LV,0.9276329994612599
MK-LV,0.9204616837604644
NL-GR,0.9180314595961233
LV-MK,0.914071531667727
BG-NL,0.9132679873555508
ES-IE,0.9093993351324543
IT-PT,0.9073309020320601
DE-GR,0.9069086231491427
GR-CH,0.9055375344957235
BG-SE,0.9040041210892831
GR-NL,0.9035375155881026
TR-CH,0.9031812519236555
FR-BG,0.9024123456079259
IT-FI,0.9008509187968873
PT-CH,0.899996896703601
BG-BE,0.8976217339914851
IE-IT,0.8959127011342749
CH-EE,0.8937026874912712
HR-SE,0.8929978735025308
LV-BG,0.8927928468640219
FR-FI,0.8908937692321418
GR-FR,0.8888262907029311
EE-RO,0.8872433981281445
CH-FI,0.8837848672578394
GB-LV,0.88199997414512
SE-RO,0.8791808191668637
BE-BG,0.8781274501584446
IE-PL,0.8767898309462154
FI-IT,0.8744983825544481
FR-EE,0.8737382057256732
BG-LT,0.8718287182075952
NL-RO,0.8709839802820188
NL-BG,0.8705444005741264
ES-SE,0.8699795816029907
PT-LU,0.8698022822876251
BE-FI,0.8688998917576461
BG-LV,0.8674428376662268
LV-GB,0.8673881834811996
SK-GB,0.8673797523100073
LU-NO,0.8665949819747472
NO-ES,0.8635496202612879
CH-NO,0.8604420805831889
ES-SK,0.8587092765133515
SI-NO,0.857468282930927
BE-EE,0.8561833000047184
IT-RO,0.8545848546905833
LU-RO,0.8544090590869473
PL-GR,0.8522402725210536
LT-ES,0.8514334842294174
EE-IT,0.8509916532257606
IT-LV,0.8505593996459182
IT-NO,0.8499520054448937
IE-LU,0.8493853658001556
SK-GR,0.8474489560776957
SE-RS,0.8471818029028102
SI-LV,0.8465504767072562
FI-NL,0.8442612070440273
BE-RO,0.8438045456623594
LT-BG,0.8398049694439882
LV-RO,0.8381998312907466
IT-EE,0.8367807833450925
EE-FR,0.8352650983253394
LV-RS,0.832846461060093
IT-BG,0.8315238516106621
DE-IE,0.8308255950125867
CZ-FI,0.8300848064956119
LU-EE,0.829297303076796
DE-BG,0.8286624164597857
NL-FI,0.8283807358853632
ES-DK,0.8281284313557858
LV-FR,0.8278711345031718
LV-NO,0.8269803985641752
ES-HU,0.8264252526194539
GR-DE,0.8239902444990641
FR-RO,0.8233223435128337
FR-LT,0.8223140756008733
LU-ES,0.8221379473307537
NO-IT,0.8219052153506368
DE-PT,0.8208386642286628
HU-GB,0.8206135609105005
SI-GB,0.8201793151361259
ES-GB,0.8188216003059012
LT-RO,0.8175578815730747
DK-ES,0.8134084573507955
PT-IT,0.8133960922151777
RO-EE,0.8117531027577092
HU-FI,0.8080493449464465
NL-AX,0.8056586642970244
RO-LU,0.8047302052112725
CH-PT,0.802391374972028
GR-PL,0.8023617616329316
FR-NO,0.8009254700977048
RO-SE,0.8008354392203361
EE-BE,0.800220474016834
LV-IT,0.7994532248432453
NO-PL,0.7947678224688538
SE-HU,0.7944700659958825
SK-ES,0.7933209171556866
CH-BG,0.7930883566272028
IT-GR,0.7921003548921585
PL-GB,0.7914122205387992
AT-NO,0.7886511830752254
LU-FI,0.7884169410978067
RO-LT,0.7880390136457622
DE-RO,0.7878668685311264
NO-GB,0.7875285593557283
IT-LT,0.787502830542244
LU-LV,0.787125737441213
IT-GB,0.786973466612167
ES-PL,0.7868306157467454
ES-CZ,0.7863925154497796
SK-BG,0.7857501506689404
SI-SE,0.7853041908443864
CZ-EE,0.7845923160006476
LT-IT,0.7836897749528334
FR-LV,0.7830632481019107
SE-ES,0.7828009695998203
DK-RO,0.7814603048457813
DE-EE,0.780106979902598
CZ-ES,0.7787295225712592
HU-SE,0.7781503688403267
CH-GR,0.7751163375392537
EE-NL,0.7740384674362363
LU-HR,0.7718628528652232
PL-BG,0.7715788634167404
EE-NO,0.7708646286977253
HU-ES,0.7704451062088867
AT-LT,0.768715058061384
PL-RO,0.767122187968782
LV-HR,0.766299413609533
LT-FR,0.7659698390727226
SE-AT,0.7633781951562172
RO-DE,0.7616603091575517
EE-BG,0.7615509199297539
LV-AT,0.7612892024099907
NO-LU,0.7606408278418606
EE-DE,0.7602490428560689
EE-LU,0.7597577260657422
SE-SI,0.7594446824275243
NO-EE,0.7590000906736734
EE-DK,0.7588313266796121
DK-HU,0.7588002805289387
ES-PT,0.7579444110716971
NL-HR,0.7572606135969838
AT-GB,0.7559186799732036
AT-ES,0.7544127614743721
FI-BE,0.7541537793536265
NL-EE,0.7528171447564437
SE-GB,0.7513364813539922
PT-FR,0.7506967298321768
CH-RO,0.7505859660062875
IT-SE,0.7491257593665333
BE-LV,0.7488738652841794
SE-CH,0.7487595328744193
AT-BG,0.7486803096284423
CZ-GB,0.7481113421554344
LV-LU,0.7480635120588154
NO-LT,0.7480428636118485
CH-ES,0.7446891882287449
FR-HR,0.7442311168205855
FR-HU,0.7438322139905171
IE-NL,0.7436481366787291
LV-BE,0.743133956184305
IE-CH,0.7422697436701531
GR-HU,0.7417153230744972
NO-NL,0.7415170840299136
NO-BE,0.740577559976742
LU-SE,0.739089494385882
CZ-BG,0.7387325205123232
GR-IT,0.7376303294493909
NL-LV,0.7362254940832479
FR-PT,0.7355249255581173
FI-LU,0.7353653611619192
FR-SE,0.731546869553255
FR-SK,0.7313655163231898
GB-CZ,0.7308010504841562
DK-LT,0.7279503322087596
ES-HR,0.7264653228797971
ES-LU,0.7264333580906315
CH-SE,0.7260825169697279
NO-FR,0.7260684574689694
DE-FI,0.7249864455427218
GB-ES,0.724848149164434
NL-NO,0.7247956538056834
NO-LV,0.7236023593371533
IT-DK,0.7232710658516316
DE-ES,0.7211482216615498
BE-HU,0.7186188216803244
DE-LV,0.7180454829158074
SE-IT,0.7172506694186978
PT-NL,0.7170406831843084
SI-CH,0.7164202318251112
DK-EE,0.7160000134905371
LT-BE,0.7137271763453469
BE-PT,0.7130395461198714
LV-NL,0.7124039980009721
ES-AT,0.7120711815658309
ES-BE,0.7119314877591953
BE-LT,0.711446359456095
NL-HU,0.7108205495973708
FI-PL,0.7105788632468565
PL-CH,0.70928571783582
HU-FR,0.7086977333605661
CZ-GR,0.7085601205738334
